Company,Job Title,Status,Application date,Notes
Cambrex,Screeening Scientist II,Rejected,2026-02-24,I interviewed well and I did a great presentaiton
Physchem Solutions,Solid State Scientist,Interview,2026-03-30,none yet
Chemify,Production Scientist,Applied,2026-04-03,Lee Cronin sucks
Wingstop,Store Manager,Rejected,2026-03-20,They do good chicken
Cafe Nero,Shift leader,Rejected,2026-03-30,Coffee is overrated
Enva,Laboratory Chemist,Applied,2026-04-02,Waste disposal company
The scotch whiskey company,Flavour Scientist,Applied,2026-04-01,Would be cool to work here
Thermo fischer,QC Technician,Applied,2026-04-01,
Syngenta,QC Shift Analyst,Rejected,2026-03-17,
Entrust Resoruce Solutions,QC Analyst,Applied,2026-04-01,
Charles River,Scientific Associate 1,Applied,2026-03-08,
NextPharma,QC Stability Analyst,Applied,2026-04-01,
Barclays,Customer Service advisor,Applied,2026-04-02,
NHS Scotland,Housekeeper,Applied,2026-04-02,
Sartorius,QC Materials Technician,Applied,2026-04-02,
Charles River,"Scientific Associate, Chromatographic Bioanalysis",Applied,2026-04-02,
